uid,city_name,offense_code,offense_type,offense_group,offense_against,date_single,longitude,latitude,location_type,location_category,census_block
2022330,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-17 11:30,-87.664091,41.808615,hotel,hotel,170316112002001
2022352,Chicago,13B,simple assault,assault offenses,persons,2012-03-17 11:55,-87.706862,41.865616,residence,residence,170318415001007
2022459,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-03-17 14:15,-87.570914,41.768033,residence,residence,170314301022001
2022461,Chicago,13B,simple assault,assault offenses,persons,2012-03-17 14:25,-87.624469,41.884791,other,other,170313201002027
2022574,Chicago,23C,shoplifting,larceny/theft offenses,property,2012-03-17 16:35,-87.644582,41.933744,other retail,retail,170310634001000
2022605,Chicago,290,destruction/damage/vandalism of property (except arson),destruction/damage/vandalism of property (except arson),property,2012-03-17 17:00,-87.649713,41.935446,street,street,170310630002000
2022934,Chicago,13B,simple assault,assault offenses,persons,2012-03-17 22:30,-87.628025,41.888081,street,street,170310815003010
2023147,Chicago,23D,theft from building,larceny/theft offenses,property,2012-03-18 02:30,-87.630183,41.890825,bar/club,leisure,170310817002040
2023228,Chicago,13B,simple assault,assault offenses,persons,2012-03-18 04:15,-87.756806,41.882348,residence,residence,170312519002017
2023242,Chicago,13B,simple assault,assault offenses,persons,2012-03-18 04:40,-87.564793,41.760583,street,street,170314313021004
2023325,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-18 09:00,-87.624206,41.896944,residence,residence,170310812012007
2023408,Chicago,22A,residential burglary/breaking & entering,burglary/breaking & entering,property,2012-03-18 12:00,-87.626528,41.688003,residence,residence,170314913002003
2023478,Chicago,13B,simple assault,assault offenses,persons,2012-03-18 13:45,-87.614436,41.828762,residence,residence,170313511001003
2023556,Chicago,90Z,all other offenses,all other offenses,other,2012-03-18 16:00,-87.616654,41.8118,street,street,170318360001012
2023587,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-18 16:52,-87.610325,41.832496,residence,residence,170313510001009
2023691,Chicago,23H,other theft,larceny/theft offenses,property,2012-03-18 19:00,-87.670281,41.687371,residence,residence,170317505003014
2023807,Chicago,90Z,all other offenses,all other offenses,other,2012-03-18 21:00,-87.71966,41.938133,residence,residence,170312105011005
2023818,Chicago,13B,simple assault,assault offenses,persons,2012-03-18 21:30,-87.687411,41.996797,residence,residence,170310209011009
2023819,Chicago,90Z,all other offenses,all other offenses,other,2012-03-18 21:30,-87.707088,41.882785,residence,residence,170318368002013
2023833,Chicago,13A,aggravated assault,assault offenses,persons,2012-03-18 21:50,-87.690542,41.979979,street,street,170310402024011
2023881,Chicago,35A,drug/narcotic violations,drug/narcotic offenses,society,2012-03-18 22:47,-87.706157,41.882162,street,street,170318369002004
2023885,Chicago,13B,simple assault,assault offenses,persons,2012-03-18 22:55,-87.640098,41.696982,street,street,170314911004016
2023903,Chicago,13B,simple assault,assault offenses,persons,2012-03-18 23:15,-87.605467,41.773145,street,street,170314208002008
2023964,Chicago,520,weapon law violations,weapon law violations,society,2012-03-19 00:21,-87.650839,41.77889,residence,residence,170316810004021
2024207,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-03-19 09:51,-87.684111,41.796688,street,street,170316305002000
2024266,Chicago,240,motor vehicle theft,motor vehicle theft,property,2012-03-19 11:00,-87.786026,41.96023,vehicle parking,open space,170311505021005
2024443,Chicago,13B,simple assault,assault offenses,persons,2012-03-19 14:45,-87.683828,41.852979,school,education,170318412002035
